Ward NO,Beds,area covered,Services,Staff,Contact,Sl No.,No of Applications,Total Collection (Amount in lakhs),Area (sq km)_x,Lakes #_x,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase,Total no. of Households,Govt Schools #_x,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,State Code,HH condition - total,HH condition - Good,HH Condition - Livable,HH Condition - Dilapidated,HH Residence - total,HH Residence - Good,HH Residence - Livable,HH residence - dilapidated,HH residence-cum-other-use total,HH residence-cum-other-use Good,HH residence-cum-other-use Livable,HH residence-cum-other-use Dilapidated,Roof - Grass/ Thatch/ Bamboo/ Wood/Mud etc.,Roof - Plastic/ Polythene,Roof - Hand made Tiles,Roof - Machine made Tiles,Roof - Burnt Brick,Roof - Stone/ Slate,Roof - G.I./Metal/ Asbestos sheets,Roof - Concrete,Roof - Any other material,Wall - Grass/ Thatch/ Bamboo etc.,Wall - Plastic/ Polythene,Wall - Mud/Unburnt brick,Wall - Wood,Wall -Stone not packed with mortar,Wall - Stone packed with mortar,Wall -G.I./ Metal/ Asbestos sheets,Wall - Burnt brick,Wall - Concrete,Wall - Any other material,Floor - Mud,Floor - Wood/ Bamboo,Floor - Burnt Brick,Floor - Stone,Floor - Cement,Floor - Mosaic/ Floor tiles,Floor - Any other material,Dwelling rooms - No exclusive room,Dwelling rooms - One room,Dwelling rooms - Two rooms,Dwelling rooms - Three rooms,Dwelling rooms - Four rooms,Dwelling rooms - Five rooms,Dwelling rooms - Six rooms and above,HH Size - 1,HH Size - 2,HH Size - 3,HH Size - 4,HH Size - 5,HH Size - 6-8,HH Size - 9+,Ownership - Owned,Ownership -  Rented,Ownership -  Any others,Married Couple - None,Married Couple - 1,Married Couple - 2,Married Couple - 3,Married Couple - 4,Married Couple - 5+,Drinking Water - Tapwater from treated source,Drinking Water - Tapwater from un-treated source,Drinking Water - Covered well,Drinking Water - Un-covered well,Drinking Water - Handpump,Drinking Water - Tubewell/Borehole,Drinking Water - Spring,Drinking Water - River/Canal,Drinking Water - Tank/Pond/Lake,Drinking Water -  Other sources,Drinking water source - Within premises,Drinking water source - Near premises,Drinking water source - Away,Lighting - Electricity,Lighting - Kerosene,Lighting - Solar energy,Lighting - Other oil,Lighting - Any other,Lighting - No lighting,Number of households having latrine facility within the premises,Flush lutrince connected to Piped sewer system,Flush lutrince connected to Septic tank,Flush lutrince connected to Other system,Pit latrine With slab/ventilated improved pit,Pit Latrine - Without slab/  open pit,Night soil disposed into open drain,Night soil removed by human,Night soil serviced by animal,Number of households not having latrine facility within the premises,Alternative source -Public latrine,Alternative source - Open,bathing facility within the premises -Bathroom,bathing facility within the premises - Enclosure without roof,bathing facility within the premises - No,Waste water outlet connected to Closed drainage,Waste water outlet connected to Open drainage,Waste water outlet connected to No drainage,Type of Cooking Fuel - Fire-wood,Type of Cooking Fuel - Crop residue,Type of Cooking Fuel - Cowdung cake,"Type of Cooking Fuel - Coal,Lignite,Charcoal",Type of Cooking Fuel -  Kerosene,Type of Cooking Fuel -  LPG/PNG,Type of Cooking Fuel -  Electricity,Type of Cooking Fuel - Biogas,Type of Cooking Fuel - Any other,Type of Cooking Fuel - No cooking,Kitchen Facility Total,Kitchen Facility  - Cooking inside house,Kitchen Facility  - Cooking inside house - Has Kitchen,Kitchen Facility  - Cooking inside house - Does not have kitchen,Kitchen Facility  - Cooking outside house:,Kitchen Facility  - Cooking outside house: Has Kitchen,Kitchen Facility  - Cooking outside house: Does not have kitchen,Kitchen Facility  - Cooking outside house: No Cooking,Total number of households availing banking services,Availability of assets - Radio/Transistor,Availability of assets - Television,Availability of assets Computer/Laptop - With Internet,Availability of assets Computer/Laptop - Without Internet,Availability of assets Landline only,Availability of assets Mobile only,Availability of assets Both,HH with Bicycle,HH - Scooter/ Motorcycle/Moped,HH - Car/ Jeep/Van,"HH - Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",None of the assets specified in prev column,Type of structure of census house - Permanent,Type of structure of census house - Semi-Permanent,Type of structure of census house - Total Temporary,Type of structure of census house - Serviceable,Type of structure of census house - Non-Serviceable,Type of structure of census house - Unclassifiable,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons),Area (sq km)_y,Lakes #_y,Playgrounds #,Govt Schools #_y,Police Stations #,Fire stations #,BMTC TTMC #,Waste Quantity (TPD),Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,Collection Vehicle details-Frequency of trips /day,Number of Connections,Consumption in ML
134,,,,,,996,8806,707.74,0.7,0,7.25,0.0,0.0,4.57,0.0,2016.0,10647,3,49484,25763,23721,2456,1230,1226,632,335,297,29,100,88.4,11.1,0.5,98.3,87.5,10.4,0.4,1.7,1.0,0.7,0.0,0.5,0.3,1.3,0.6,0.1,3.4,16.5,77.3,0.1,0.3,0.1,1.7,0.1,7.2,23.6,0.5,59.8,6.6,0.1,0.4,0.1,0.1,0.2,54.1,44.7,0.5,17.1,49.3,23.8,7.6,1.5,0.4,0.4,1.7,7.8,16.8,27.8,19.2,21.4,5.2,25.6,71.0,3.3,10.8,77.5,9.2,1.9,0.5,0.1,94.2,4.4,0.2,0.0,0.1,0.7,0.2,0.0,0.0,0.1,94.1,5.5,0.5,99.6,0.3,0.0,0.0,0.0,0.0,99.4,98.2,0.7,0.1,0.3,0.0,0.0,0.0,0.0,0.6,0.2,0.5,98.5,1.1,0.4,98.8,1.0,0.2,2.5,0.4,0.0,0.0,21.0,75.4,0.2,0.1,0.1,0.3,100,99.6,98.7,1.0,0.1,0.0,0.1,0.3,44.2,36.6,84.7,4.2,9.9,4.4,82.8,4.8,9.9,33.1,4.7,6.8,2.3,97.1,2.5,0.2,0.1,0.1,0.2,29473,20011,49484,0.7,0,2,3,0,0,0,18.93,0.5,0.0,8,2,4463,121.66
135,0.0,137.0,0.0,0.0,22975798.0,999,3980,264.22,0.3,0,7.435,0.0,0.0,1.48,0.0,0.0,7273,0,37599,19364,18235,163,88,75,89,53,36,29,100,69.2,28.8,1.9,96.7,67.7,27.1,1.9,3.3,1.5,1.8,0.1,0.4,0.1,0.5,0.7,0.6,4.7,34.6,58.5,0.1,0.1,0.0,3.6,0.2,1.3,6.0,0.2,68.3,20.0,0.2,0.9,0.0,0.5,1.1,76.5,20.9,0.1,5.2,47.8,33.5,11.7,1.2,0.3,0.4,1.9,5.9,11.1,21.1,20.3,32.5,7.2,25.1,72.1,2.8,9.2,79.6,8.4,2.2,0.5,0.1,98.8,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,91.0,7.5,1.5,99.0,0.7,0.0,0.0,0.0,0.3,98.7,91.5,5.1,2.0,0.1,0.0,0.0,0.0,0.0,1.3,1.3,0.0,98.4,1.3,0.4,90.0,9.8,0.2,3.6,0.4,0.1,0.2,35.7,57.6,0.3,0.6,0.9,0.7,100,99.1,98.0,1.1,0.2,0.1,0.0,0.7,12.6,35.0,83.8,2.3,7.6,4.6,81.7,2.6,6.4,23.0,2.6,2.7,2.6,95.5,4.2,0.1,0.0,0.0,0.3,24565,13034,37599,0.3,0,1,0,0,0,0,14.36,0.5,0.0,16,2,2028,71.03
136,,,,,,1002,3878,535.89,0.6,0,4.2645,0.0,0.0,3.4,0.0,2016.0,7751,3,38639,19773,18866,6221,3099,3122,333,170,163,29,100,80.5,18.6,0.9,98.3,79.6,17.9,0.9,1.7,1.0,0.7,0.0,0.5,0.3,1.4,1.0,0.1,5.9,34.4,56.3,0.1,0.2,0.2,8.2,0.0,6.0,8.3,0.5,59.2,17.3,0.0,2.6,0.2,3.2,0.2,70.5,23.2,0.0,7.2,55.9,26.4,9.2,0.8,0.3,0.2,1.9,6.5,12.0,23.1,21.2,29.1,6.2,41.0,57.4,1.6,9.9,79.8,7.9,2.0,0.4,0.1,97.3,1.3,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.1,81.6,17.1,1.3,98.7,1.1,0.0,0.0,0.0,0.1,98.0,91.0,6.5,0.2,0.0,0.2,0.0,0.0,0.0,2.0,2.0,0.1,98.0,1.4,0.6,85.9,13.1,1.0,3.7,0.1,0.1,0.0,41.7,51.7,0.2,1.9,0.2,0.3,100,99.4,94.8,4.6,0.3,0.1,0.2,0.3,26.1,22.7,80.4,2.8,11.8,6.2,73.5,2.6,10.6,23.5,2.7,3.2,5.0,90.9,8.7,0.3,0.2,0.1,0.1,24141,14498,38639,0.6,0,2,3,1,0,0,14.76,0.5,0.0,16,2,4823,126.52
137,,,,,,1005,5906,226.96,0.4,0,6.82,0.0,0.0,2.656,0.0,2016.0,7549,4,36039,18319,17720,13639,6858,6781,458,236,222,29,100,71.5,28.2,0.3,99.6,71.4,28.0,0.3,0.4,0.2,0.2,0.0,0.8,0.2,1.7,3.9,1.0,3.7,26.8,61.9,0.1,0.1,0.1,4.4,0.1,6.1,7.2,0.4,67.9,13.8,0.0,0.1,0.0,0.2,0.1,69.2,30.2,0.1,17.1,60.3,17.8,3.4,1.0,0.1,0.3,1.5,6.6,14.1,25.7,21.8,25.8,4.6,36.5,60.7,2.8,12.8,76.3,9.0,1.6,0.3,0.0,96.3,2.8,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,93.4,5.4,1.2,99.4,0.5,0.0,0.1,0.0,0.0,99.1,94.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.2,98.6,0.9,0.5,98.4,1.4,0.2,1.6,0.2,0.1,0.0,38.7,58.9,0.2,0.0,0.1,0.2,100,99.7,98.4,1.3,0.1,0.0,0.0,0.2,39.7,38.4,89.5,3.5,8.4,7.1,78.1,3.4,11.6,29.7,2.9,5.2,2.3,94.7,4.7,0.5,0.4,0.1,0.1,22395,13644,36039,0.4,0,3,4,0,0,0,13.77,0.5,0.0,14,2,3460,81.85
138,0.0,139.0,0.0,0.0,22975680.0,1008,1834,69.16,0.4,0,4.7,0.0,0.0,1.176,0.0,0.0,4896,8,24801,12533,12268,13039,6417,6622,187,95,92,29,100,51.5,46.3,2.2,99.0,51.0,45.8,2.2,1.0,0.6,0.5,0.0,0.4,0.3,4.6,1.7,0.7,1.9,38.1,52.2,0.1,0.3,0.2,12.1,0.0,3.1,9.8,0.5,55.6,18.2,0.1,0.6,0.1,0.1,0.5,84.0,14.7,0.0,20.1,46.5,24.3,6.9,1.6,0.2,0.5,1.5,5.5,12.1,22.9,23.3,28.8,5.9,51.7,45.6,2.7,12.0,76.3,9.2,2.0,0.4,0.1,81.3,14.7,0.0,0.0,0.3,3.4,0.0,0.0,0.0,0.2,57.7,36.1,6.2,98.3,1.6,0.0,0.0,0.0,0.0,82.8,75.3,3.1,0.4,1.8,0.2,0.2,0.0,1.9,17.2,13.8,3.4,84.4,4.9,10.6,74.0,23.5,2.4,9.6,0.8,0.2,0.1,43.6,45.0,0.1,0.4,0.0,0.3,100,97.7,88.8,9.0,2.0,1.9,0.1,0.3,29.1,21.8,84.3,2.4,7.0,3.3,77.8,3.4,13.3,23.6,1.5,3.9,3.6,87.0,12.5,0.4,0.3,0.1,0.1,15222,9579,24801,0.4,0,0,8,0,0,0,9.47,0.5,0.0,14,2,2391,52.87
139,,,,,,1011,6442,997.6700000000001,0.8,0,4.76,0.0,0.0,9.486,0.0,0.0,5903,9,29344,15128,14216,10480,5227,5253,349,169,180,29,100,63.9,34.8,1.3,98.9,63.5,34.1,1.3,1.1,0.4,0.7,0.0,0.7,0.3,1.5,2.5,0.3,3.3,29.3,61.8,0.2,0.2,0.2,9.6,0.1,9.8,5.8,0.3,64.4,9.6,0.1,3.2,0.2,0.3,0.3,61.6,32.4,1.9,5.7,43.6,31.7,13.7,3.4,0.7,1.2,2.3,7.1,13.5,22.6,21.0,26.4,7.1,42.5,52.4,5.1,12.9,72.5,11.2,2.7,0.5,0.2,87.3,5.4,1.0,0.5,0.4,4.6,0.1,0.0,0.6,0.0,68.2,28.7,3.1,98.2,1.6,0.0,0.0,0.0,0.1,82.1,81.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,17.9,17.9,0.0,88.6,1.5,9.9,83.9,13.0,3.1,3.0,0.2,0.2,0.1,37.7,56.6,0.3,0.6,0.1,1.3,100,96.3,85.3,11.0,2.4,0.6,1.9,1.3,46.0,22.8,84.1,5.6,13.5,9.4,73.3,4.7,10.6,29.6,4.5,10.0,2.9,88.9,10.6,0.2,0.1,0.1,0.3,17923,11421,29344,0.8,0,0,9,2,0,0,11.21,0.5,0.0,11,2,2926,52.9
140,,,,,,1014,11418,2078.8,1.0,0,5.185,0.0,0.0,3.138,0.0,2016.0,7500,3,32213,16436,15777,1214,658,556,525,290,235,29,100,83.3,15.9,0.7,99.2,82.7,15.7,0.7,0.8,0.6,0.2,0.0,0.4,0.4,1.6,1.5,1.3,3.4,16.0,75.2,0.2,0.1,0.1,5.8,0.1,5.2,20.7,0.2,56.6,11.1,0.2,1.4,0.1,0.8,3.2,41.8,51.9,0.9,10.4,44.9,28.0,11.6,2.8,0.8,1.5,4.8,10.3,20.6,29.8,16.2,14.8,3.5,43.2,53.8,3.0,14.0,74.5,9.3,1.9,0.2,0.1,97.6,1.7,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.1,96.0,3.9,0.1,99.5,0.5,0.0,0.0,0.0,0.0,96.3,95.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,3.7,3.5,0.1,99.3,0.6,0.1,96.6,3.4,0.0,1.5,0.1,0.0,0.1,11.6,84.3,0.2,1.7,0.1,0.4,100,99.5,98.0,1.4,0.1,0.0,0.1,0.4,78.2,48.4,91.0,14.9,22.1,9.3,66.0,19.5,16.6,52.1,16.3,25.1,1.3,93.0,6.4,0.3,0.2,0.0,0.4,19222,12991,32213,1.0,0,2,3,2,0,0,12.31,0.5,0.0,19,2,4775,163.26
141,0.0,136.0,0.0,0.0,22975787.0,1017,9314,586.55,0.7,0,3.815,0.0,0.0,0.88,0.0,2016.0,9246,2,38825,19790,19035,2118,1048,1070,1480,729,751,29,100,77.2,22.1,0.7,99.3,76.6,22.0,0.7,0.7,0.5,0.2,0.0,0.9,0.3,1.2,1.1,0.5,3.1,19.5,73.4,0.1,0.1,0.1,5.0,0.0,11.3,11.5,1.0,40.5,30.4,0.1,0.4,0.1,0.2,0.4,51.4,47.2,0.2,8.7,48.4,25.4,11.6,3.4,1.2,1.4,2.7,10.3,20.1,31.6,16.4,15.6,3.2,28.8,66.0,5.2,12.2,77.6,8.3,1.6,0.3,0.1,91.1,5.9,0.0,0.1,0.1,2.3,0.1,0.0,0.1,0.2,92.0,7.2,0.8,99.0,0.8,0.0,0.0,0.0,0.1,98.7,96.0,1.4,0.2,0.2,0.1,0.1,0.0,0.7,1.3,1.1,0.2,97.0,1.7,1.3,97.3,2.5,0.2,2.7,0.2,0.1,0.0,17.2,78.6,0.6,0.1,0.0,0.5,100,98.9,96.9,2.0,0.6,0.2,0.4,0.5,50.7,35.9,86.5,7.0,14.3,8.0,73.7,6.8,15.6,36.5,7.4,11.9,2.8,93.6,6.1,0.2,0.1,0.1,0.1,22634,16191,38825,0.7,0,1,2,0,1,0,14.83,0.5,0.0,18,2,4024,107.78
142,,,,,,1020,16617,2926.84,1.5,0,8.05,0.0,0.0,0.6,0.0,0.0,8643,3,34666,17687,16979,1366,689,677,327,160,167,29,100,83.6,15.1,1.3,99.2,83.2,14.8,1.2,0.8,0.5,0.3,0.0,0.7,0.3,1.1,1.2,0.3,2.7,11.7,81.9,0.1,0.2,0.0,2.4,0.0,1.9,5.0,0.3,69.7,20.4,0.2,0.5,0.1,0.2,2.0,38.0,58.5,0.7,5.1,31.9,30.8,19.4,7.2,3.2,2.5,5.2,13.9,23.0,28.2,14.9,12.0,2.9,45.4,48.8,5.7,15.9,70.9,10.7,2.1,0.3,0.1,97.8,1.1,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.4,95.8,4.0,0.1,99.5,0.4,0.0,0.0,0.0,0.0,97.6,93.8,0.5,0.2,2.8,0.3,0.0,0.0,0.0,2.4,1.3,1.1,98.2,0.2,1.6,98.2,0.3,1.4,3.6,0.1,0.0,0.4,8.1,86.6,0.3,0.1,0.1,0.7,100,99.2,97.0,2.3,0.1,0.0,0.0,0.7,86.1,66.1,91.8,29.9,16.8,11.5,50.2,32.5,27.9,57.0,27.5,36.4,1.3,96.2,3.4,0.1,0.0,0.1,0.2,20644,14022,34666,1.5,0,1,3,1,0,0,14.11,0.5,0.0,18,2,2891,63.28
143,,,,,,1023,16429,2697.36,2.5,0,4.39,0.0,0.0,2.58,0.0,0.0,7361,2,32462,16316,16146,1766,870,896,346,179,167,29,100,85.2,14.2,0.6,99.1,84.6,13.9,0.6,0.9,0.6,0.3,0.0,0.5,0.2,1.0,0.7,0.2,3.1,7.2,86.9,0.1,0.1,0.1,2.5,0.0,5.3,19.1,0.3,48.6,23.9,0.1,1.1,0.1,0.2,5.0,30.9,58.4,4.4,6.8,22.6,28.1,24.0,10.6,3.7,4.1,3.0,11.1,19.3,28.5,16.6,16.8,4.8,46.8,47.1,6.1,12.5,69.1,14.2,3.4,0.6,0.2,93.1,0.6,0.5,0.1,0.1,4.9,0.2,0.0,0.0,0.5,96.2,3.5,0.3,99.4,0.3,0.1,0.0,0.0,0.1,99.6,99.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,99.3,0.2,0.4,99.6,0.3,0.1,5.9,0.5,0.0,0.0,6.2,83.6,0.1,3.0,0.2,0.3,100,99.6,98.0,1.6,0.1,0.0,0.1,0.3,84.2,49.9,93.4,29.5,19.2,12.4,49.8,34.0,24.5,62.3,32.1,39.2,0.8,96.4,3.3,0.1,0.1,0.1,0.2,20117,12345,32462,2.5,0,1,2,1,0,0,13.22,0.5,0.0,15,2,4735,115.49
144,,,,,,1026,6283,633.04,0.7,0,11.125,0.0,0.0,0.54,0.0,0.0,7396,5,34879,17622,17257,6803,3393,3410,751,378,373,29,100,70.0,27.5,2.5,98.4,69.3,26.6,2.5,1.6,0.7,0.9,0.0,0.8,1.7,1.8,2.0,0.6,4.4,28.5,60.2,0.1,0.3,0.0,12.6,0.4,7.7,9.4,0.3,33.3,35.9,0.1,1.9,0.1,0.3,1.2,53.8,42.6,0.1,7.1,27.3,31.0,18.7,10.2,3.7,1.9,2.6,7.6,15.0,25.0,21.2,23.1,5.4,48.3,48.3,3.4,11.0,75.6,10.9,2.0,0.5,0.1,92.1,4.9,0.9,0.1,0.2,1.4,0.0,0.0,0.0,0.4,83.3,11.5,5.2,98.6,1.2,0.1,0.0,0.0,0.1,91.7,87.5,1.3,0.4,1.3,0.0,0.5,0.0,0.7,8.3,7.8,0.5,94.5,2.5,3.0,93.1,2.3,4.6,2.6,2.1,0.2,0.0,31.5,62.8,0.1,0.2,0.0,0.2,100,99.5,94.5,5.0,0.3,0.2,0.1,0.2,48.4,26.4,86.8,8.7,15.6,8.9,71.4,8.8,14.3,37.0,10.6,12.3,2.6,84.5,15.0,0.4,0.3,0.1,0.2,20320,14559,34879,0.7,0,2,5,0,0,0,14.2,0.5,0.0,20,2,4485,124.59
145,,,,,,1029,12882,2594.05,1.4,0,2.67,0.0,0.0,1.26,0.0,2016.0,8948,5,38309,19813,18496,3482,1730,1752,408,205,203,29,100,77.8,21.5,0.8,99.2,77.3,21.2,0.7,0.8,0.5,0.3,0.0,0.8,0.2,0.7,0.3,0.8,3.0,16.5,77.5,0.2,0.2,0.0,0.7,0.1,8.7,13.8,0.4,50.3,25.5,0.2,0.4,0.1,0.1,1.7,36.3,60.5,1.0,4.4,31.7,28.0,22.9,7.9,2.6,2.5,3.7,11.4,19.4,29.0,17.3,15.9,3.3,41.0,56.2,2.8,15.6,73.4,8.5,1.9,0.4,0.1,91.2,6.1,0.2,0.1,0.0,2.3,0.0,0.0,0.0,0.1,90.7,7.9,1.4,98.8,0.9,0.2,0.1,0.0,0.0,94.9,93.4,0.7,0.2,0.2,0.1,0.1,0.0,0.0,5.1,5.0,0.1,96.9,2.0,1.2,99.1,0.8,0.1,0.9,0.2,0.0,0.0,12.9,85.2,0.1,0.2,0.0,0.5,100,99.3,94.8,4.5,0.2,0.1,0.1,0.5,78.8,58.0,91.2,22.2,17.6,17.0,61.2,17.5,23.8,56.5,22.0,29.9,0.9,97.6,1.9,0.1,0.0,0.1,0.4,22458,15851,38309,1.4,0,1,5,1,0,0,15.6,0.5,0.0,19,2,6537,200.41
146,0.0,147.0,0.0,0.0,22975870.0,1032,8446,3447.5699999999997,1.3,0,18.71,0.0,0.0,0.476,0.0,0.0,7229,0,30667,15786,14881,5425,2752,2673,510,252,258,29,100,86.2,12.6,1.2,99.5,85.9,12.4,1.2,0.5,0.3,0.1,0.0,1.2,0.2,1.1,0.2,2.9,5.0,20.4,68.9,0.1,0.3,0.0,1.2,0.0,3.0,1.1,0.4,76.1,17.6,0.2,0.5,0.1,0.0,2.2,39.6,57.2,0.3,8.7,40.8,29.5,14.1,4.9,1.0,0.8,4.0,11.6,19.9,27.9,17.3,15.5,3.8,34.3,63.0,2.7,16.3,72.5,9.1,1.7,0.4,0.0,94.2,1.6,2.1,0.0,0.0,1.5,0.1,0.0,0.0,0.5,94.2,5.3,0.5,99.7,0.3,0.0,0.0,0.0,0.0,98.8,95.7,2.8,0.1,0.0,0.0,0.0,0.0,0.1,1.2,1.1,0.1,99.3,0.5,0.3,98.1,1.4,0.5,0.9,0.0,0.1,0.0,18.5,79.2,0.2,0.0,0.0,1.0,100,98.1,96.3,1.8,0.8,0.2,0.6,1.0,75.6,39.2,91.3,16.8,18.7,6.4,72.2,16.3,18.3,47.7,16.4,25.2,0.6,97.0,2.6,0.2,0.0,0.2,0.2,18256,12411,30667,1.3,0,1,0,0,1,0,10.18,0.5,0.0,10,2,2834,93.9
147,,,,,,1035,7022,1064.95,1.6,0,11.175,0.0,0.0,0.328,0.0,0.0,8236,2,34299,17717,16582,9039,4579,4460,1082,575,507,29,100,77.1,21.4,1.5,99.1,76.7,21.0,1.5,0.9,0.4,0.4,0.1,1.2,0.7,1.3,0.9,0.6,3.1,17.8,74.5,0.0,0.7,0.2,3.2,0.1,5.9,7.3,0.6,50.2,31.6,0.1,1.3,0.2,0.3,1.0,61.3,35.7,0.1,8.9,44.7,34.1,9.8,1.7,0.4,0.4,4.3,11.4,17.8,28.5,18.0,16.8,3.2,36.1,61.8,2.1,16.2,75.3,7.1,1.3,0.2,0.0,88.3,5.7,0.5,0.3,0.4,4.3,0.0,0.0,0.1,0.2,85.8,8.3,5.8,98.9,1.0,0.0,0.0,0.0,0.1,98.3,96.0,1.0,0.2,0.7,0.0,0.3,0.0,0.0,1.7,1.3,0.4,97.9,0.6,1.5,97.4,1.1,1.4,3.1,0.3,0.1,0.0,22.8,72.6,0.1,0.3,0.1,0.7,100,99.2,95.3,3.8,0.1,0.1,0.1,0.7,64.0,35.9,88.6,15.9,17.5,7.5,69.5,10.8,25.3,42.2,12.2,20.7,2.8,94.8,4.0,1.0,0.2,0.8,0.1,20146,14153,34299,1.6,0,2,2,1,0,0,11.39,0.5,0.0,19,2,3410,103.83
148,0.0,151.0,0.0,0.0,0.0,1038,22517,2867.2,1.9,0,5.065,0.0,0.0,0.328,0.0,0.0,12575,9,47004,24717,22287,7231,3660,3571,953,494,459,29,100,85.6,13.1,1.3,99.7,85.4,13.0,1.3,0.3,0.2,0.1,0.0,1.0,0.6,0.5,0.6,1.0,4.0,8.3,83.9,0.1,0.2,0.2,1.3,0.0,2.7,9.2,0.2,47.2,38.8,0.2,0.8,0.1,0.1,1.2,20.4,77.2,0.3,4.8,31.8,33.3,19.6,8.9,1.0,0.5,6.1,16.7,22.5,29.1,13.7,10.4,1.5,31.9,59.0,9.0,19.6,72.3,7.0,0.9,0.1,0.0,90.2,2.6,0.2,0.0,0.2,6.1,0.0,0.0,0.1,0.5,91.5,5.8,2.6,98.8,0.6,0.3,0.0,0.0,0.2,97.3,95.7,0.8,0.2,0.3,0.0,0.2,0.0,0.0,2.7,0.6,2.1,98.7,0.7,0.6,97.7,1.3,1.0,2.2,0.2,0.0,0.0,6.6,89.3,0.5,0.1,0.0,0.9,100,98.7,97.9,0.8,0.4,0.2,0.2,0.9,85.0,45.0,93.1,36.5,19.2,12.8,59.8,25.2,25.8,58.4,26.7,41.2,0.6,96.9,2.4,0.4,0.1,0.3,0.3,25595,21409,47004,1.9,0,0,9,0,0,1,15.61,0.5,0.0,22,2,4787,142.88
149,,,,,,1041,45242,5459.18,28.3,7,8.25,0.0,0.0,0.34,0.0,0.0,14256,11,54625,28959,25666,8734,4464,4270,782,423,359,29,100,75.2,23.5,1.3,97.2,73.9,22.1,1.2,2.8,1.3,1.4,0.0,1.8,0.9,3.1,2.1,0.2,5.1,24.7,62.1,0.1,0.3,0.4,5.4,0.0,6.7,15.7,0.3,51.5,19.6,0.1,2.1,0.0,0.2,1.6,34.1,61.8,0.3,6.1,29.6,33.4,22.5,5.7,1.4,1.2,5.4,17.6,22.8,27.5,13.5,11.4,1.9,42.4,56.1,1.5,18.2,70.9,9.2,1.4,0.2,0.0,44.2,16.4,0.7,0.1,0.2,31.9,0.1,0.0,1.6,4.9,69.0,16.6,14.4,98.4,1.4,0.0,0.0,0.0,0.1,94.7,27.9,23.5,1.7,38.0,0.5,0.8,1.0,1.3,5.3,0.4,4.9,95.6,2.1,2.4,49.2,38.6,12.2,9.0,0.4,0.1,0.0,11.6,77.6,0.2,0.3,0.1,0.7,100,98.7,96.6,2.1,0.6,0.2,0.4,0.7,70.9,24.4,86.1,23.0,13.9,6.4,75.6,10.0,25.1,49.4,18.0,26.1,2.5,91.9,7.2,0.8,0.3,0.4,0.1,31525,23100,54625,28.3,7,0,11,1,0,0,26.92,0.5,0.0,26,2,3310,162.36
150,,,,,,1044,82081,28167.08,26.4,11,10.175,0.0,0.0,5.578,0.0,0.0,22368,3,80180,44031,36149,9060,4626,4434,1844,1002,842,29,100,77.4,21.4,1.2,99.4,77.2,21.0,1.2,0.6,0.3,0.4,0.0,1.3,1.0,1.5,0.6,1.0,3.5,24.0,67.1,0.1,0.3,0.2,3.6,0.0,4.7,33.4,0.9,30.3,26.4,0.2,1.3,0.4,0.4,1.2,34.5,61.3,0.8,5.3,26.8,25.0,24.8,15.1,1.4,1.7,5.6,20.5,26.4,26.4,11.6,8.5,1.1,39.5,57.8,2.7,20.2,72.5,6.5,0.7,0.1,0.0,57.9,11.8,0.7,0.1,0.5,21.4,0.1,0.1,0.8,6.5,74.2,16.6,9.1,97.8,1.8,0.0,0.1,0.1,0.1,95.3,74.3,8.6,3.8,8.3,0.1,0.1,0.0,0.0,4.7,1.4,3.3,96.0,2.5,1.4,78.8,14.5,6.7,7.5,0.4,0.1,0.0,14.0,74.5,0.2,2.1,0.2,1.0,100,97.9,95.9,2.1,1.0,0.5,0.5,1.0,76.3,45.1,83.8,43.6,11.9,13.9,56.5,24.4,26.5,45.0,38.1,44.1,2.2,93.9,5.2,0.7,0.3,0.4,0.2,37850,42330,80180,26.4,11,0,3,1,1,0,39.51,0.5,0.0,24,2,4916,390.78
